,sheep_grains_beef_and_dairy_cattle,poultry_and_other_livestock,other_agriculture,aquaculture,forestry_and_logging,fishing_hunting_and_trapping,agriculture_forestry_and_fishing_support_services,coal_mining,oil_and_gas_extraction,iron_ore_mining,non-ferrous_metal_ore_mining,non-metallic_mineral_mining,exploration_and_mining_support_services,meat_and_meat_product_manufacturing,processed_seafood_manufacturing,dairy_product_manufacturing,fruit_and_vegetable_product_manufacturing,oils_and_fats_manufacturing,grain_mill_and_cereal_product_manufacturing,bakery_product_manufacturing,sugar_and_confectionery_manufacturing,other_food_product_manufacturing,soft_drinks_cordials_and_syrup_manufacturing,beer_manufacturing,wine_spirits_and_tobacco,textile_manufacturing,tanned_leather_dressed_fur_and_leather_product_manufacturing,textile_product_manufacturing,knitted_product_manufacturing,clothing_manufacturing,footwear_manufacturing,sawmill_product_manufacturing,other_wood_product_manufacturing,pulp_paper_and_paperboard_manufacturing,paper_stationery_and_other_converted_paper_product_manufacturing,printing_(including_the_reproduction_of_recorded_media),petroleum_and_coal_product_manufacturing,human_pharmaceutical_and_medicinal_product_manufacturing,veterinary_pharmaceutical_and_medicinal_product_manufacturing,basic_chemical_manufacturing,cleaning_compounds_and_toiletry_preparation_manufacturing,polymer_product_manufacturing,natural_rubber_product_manufacturing,glass_and_glass_product_manufacturing,ceramic_product_manufacturing,cement_lime_and_ready-mixed_concrete_manufacturing,plaster_and_concrete_product_manufacturing,other_non-metallic_mineral_product_manufacturing,iron_and_steel_manufacturing,basic_non-ferrous_metal_manufacturing,forged_iron_and_steel_product_manufacturing,structural_metal_product_manufacturing,metal_containers_and_other_sheet_metal_product_manufacturing,other_fabricated_metal_product_manufacturing,motor_vehicles_and_parts;_other_transport_equipment_manufacturing,ships_and_boat_manufacturing,railway_rolling_stock_manufacturing,aircraft_manufacturing,professional_scientific_computer_and_electronic_equipment_manufacturing,electrical_equipment_manufacturing,domestic_appliance_manufacturing,specialised_and_other_machinery_and_equipment_manufacturing,furniture_manufacturing,other_manufactured_products,electricity_generation,electricity_transmission_distribution_on_selling_and_electricity_market_operation,gas_supply,water_supply_sewerage_and_drainage_services,waste_collection_treatment_and_disposal_services,residential_building_construction,non_residential_building_construction,heavy_and_civil_engineering_construction,construction_services,wholesale_trade,retail_trade,accommodation,food_and_beverage_services,road_transport,rail_transport,water_pipeline_and_other_transport,air_and_space_transport,postal_and_courier_pick-up_and_delivery_service,transport_support_services_and_storage,publishing_(except_internet_and_music_publishing),motion_picture_and_sound_recording,broadcasting_(except_internet),internet_service_providers_internet_publishing_and_broadcasting_websearch_portals_and_data_processing,telecommunication_services,library_and_other_information_services,finance,insurance_and_superannuation_funds,auxiliary_finance_and_insurance_services,rental_and_hiring_services_(except_real_estate),imputed_rent_for_owner-occupiers,actual_rent_for_housing,non-residential_property_operators_and_real_estate_services,professional_scientific_and_technical_services,computer_systems_design_and_related_services,employment_travel_agency_and_other_administrative_services,building_cleaning_pest_control_and_other_support_services,public_administration_and_regulatory_services,defence,public_order_and_safety,primary_and_secondary_education_services_(including_pre-schools_and_special_schools),technical_vocational_and_tertiary_education_services_(including_undergraduate_and_postgraduate),arts_sports_adult_and_other_education_services_(including_community_education),health_care_services,residential_care_and_social_assistance_services,heritage_creative_and_performing_arts,sports_and_recreation,gambling,automotive_repair_and_maintenance,other_repair_and_maintenance,personal_services,other_services,Total Industry Uses,Households ; Final Consumption Expenditure,General Government ; Final Consumption Expenditure,Private ; Gross Fixed Capital Formation,Public Corporations ; Gross Fixed Capital Formation,General Government ; Gross Fixed Capial Formation,Changes in Inventories,Exports of Goods and Services,Final Uses (Q1 to Q7),Total Supply
personal_services,6.7371,0.6354,6.392,2.7276,0.9494,0.8009,0.2799,9.5147,11.7735,2.2878,20.391,0.0014,2.0296,0.8265,0.0803,0.5479,0.413,0.3946,0.6866,0.6266,0.7171,0.5519,2.1487,1.0605,1.233,0.0712,0.0931,1.4659,0.0266,0.0236,0.1117,0.2704,0.7133,0.9992,0.9689,1.0058,2.634,1.1295,0.0391,1.2023,0.9092,0.4324,0.5784,1.0212,0.5263,0.8913,0.35,0.2448,1.9583,0.0455,0.3143,0.6686,0.3336,0.6334,1.73,0.2378,0.006,0.0064,0.4135,0.5718,0.3292,0.682,0.5629,1.4263,4.7817,3.4093,0.0072,3.9146,37.0225,8.9721,12.4582,31.7427,31.9474,46.3501,162.3441,28.8961,14.723,151.0147,3.1143,8.8462,1.0426,7.7843,45.3693,14.7834,86.3022,5.6393,0.0944,1.5966,1.011,15.1933,6.7046,1.0317,13.0569,16.7123,4.8955,14.8691,184.2177,2.0989,24.9433,12.6842,41.1743,111.9116,11.8483,29.101,40.6929,1.0781,1069.5514,280.7891,47.254,13.825,29.6523,1.6739,9.4229,129.619,3.7612,2930.3642,11339.8804,1098,95.8518,1.6743,22.4433,0,150.7861,12708.6358,15639
other_services,0,0,0.0101,0,0,0,0.0011,7.8559,8.4727,9.6242,40.135,0.8843,0.0143,3.0526,0,0.008,0.1953,0.002,0.5488,2.2176,0.5076,0.3133,0.2047,0.0008,2.2072,0.1849,0.0318,0.3576,0.0319,0.0615,0.0822,0.0866,0.911,1.023,4.7362,0.9938,1.6192,2.1954,0.0002,6.3731,1.3481,7.4777,0.145,0.1173,0.0081,2.1701,0.4975,0.0014,2.9705,0.2522,0.0033,3.8695,0.217,1.684,9.3332,2.0664,1.0723,0.0078,1.0873,0.0708,0.0822,1.7318,1.6938,0.2682,1.1389,3.072,0.0088,1.0528,29.9853,106.3261,87.0178,60.5093,89.2092,7.394,16.6227,1.0468,3.2586,4.9657,1.1418,4.5843,0.0225,1.2328,4.7019,4.0844,0.0148,0.0014,0.1154,1.9918,0.0033,18.5194,13.2234,1.2617,5.4895,0,0,3.287,91.8111,2.5664,15.8903,4.0901,7.0856,185.3171,11.257,30.9861,30.7836,2.1564,71.5097,74.2636,0.1205,17.5861,1.5986,0.5436,0.4946,18.1716,0.902,1171.5362,11636.3407,120,85.7837,1.7613,19.5286,0,22.0495,11885.4638,13057
Total Intermediate Use,29747.4814,3933.8131,14106.059,1329.4555,1131.164,1084.816,8514.7118,25571.7869,22544.0327,19298.2286,37403.7941,4275.5886,9466.287,31470.595,996.6246,11573.1928,3716.028,1738.195,5103.3979,5148.8336,6861.8605,8752.2193,4147.9242,2543.3201,4609.3791,211.0687,433.9364,1562.8565,21.2185,353.1708,145.7007,3837.2685,6235.5177,1844.6685,4075.9786,2400.782,3958.332,3794.9865,212.5952,11081.4921,1610.9034,7128.6702,410.9769,2052.754,710.3502,6563.8391,2095.5419,1136.6694,11597.4875,41754.8847,504.3471,11150.9172,2119.3738,4655.2429,5448.7712,3084.5431,2227.8192,2053.641,2764.593,2322.7896,592.2839,7553.8391,2631.2934,1209.471,15819.1153,36143.6718,3676.485,10776.6321,14726.9515,78111.7497,48699.1756,46358.722,168263.2301,69661.9456,64723.1714,8350.2024,37127.3213,31346.0461,7574.6311,5441.8189,8438.7371,12099.4117,46183.3723,11494.8851,5071.3513,4410.3251,9703.9756,32210.159,407.3465,29431.9378,41310.8057,31110.2498,15707.8918,26882.9849,15049.7095,45174.0785,108019.6813,28216.3239,28106.8052,12851.2123,57352.4072,18945.0234,12834.9568,17434.9104,16795.8975,3633.5684,42814.7458,24548.0881,4150.538,10566.0193,6154.2957,8191.3872,9471.5827,8173.7817,1027.6213,1829396.302,931598.7777,505022.841,321632.4143,23988.5456,79250.6438,5827.4664,584189.0094,2451509.698,4280906
Compensation of employees,3206,815,3029,482,812,361,1751,6749,4339,8099,7277,1512,6933,4505,123,1841,927,176,868,2679,1647,1896,848,699,1280,89,71,749,28,489,120,774,2301,432,1304,1900,473,1983,148,2594,805,2983,251,990,326,1364,779,517,2537,2598,188,4590,1401,2504,2980,1770,874,1273,3393,1401,402,4790,1414,769,1657,6024,329,4541,3644,10167,7417,17644,50383,50872,60178,5146,27270,18868,6139,2055,3955,4919,11855,6898,2394,2075,3738,7261,557,24203,8018,21760,5836,0,0,17265,93012,28513,56553,8127,59931,15648,20083,54758,32770,4470,74995,73625,1966,5675,2296,6860,4692,5077,10102,1069429,0,0,0,0,0,0,0,0,1069429
Gross operating surplus & mixed income,25797,4658,15390,724,1429,1074,1846,80589,76278,103220,10936,4537,4405,2273,273,1066,231,252,261,265,1211,2323,580,994,722,106,206,665,1,150,61,853,1966,220,479,377,2807,1732,227,3630,1597,1825,197,750,463,1560,695,401,1152,2179,293,3162,1099,872,1659,1120,423,659,3736,800,293,1665,1024,759,3010,8858,1254,9467,1958,12910,4773,14724,36498,31588,32086,2216,9578,11718,2190,2773,439,2225,24934,3390,118,2325,5269,14933,935,76781,7803,14934,3669,142794,32718,32247,29191,11896,6362,3779,10221,7455,3090,5147,4223,3162,18237,8352,2489,1405,2215,2572,1908,1532,1648,1059196,0,0,0,0,0,0,0,0,1059196
Taxes less subsidies on products,689.3149,74.3938,398.7489,33.6061,114.406,33.5409,68.4413,266.8707,202.7841,482.6199,170.3926,46.5472,47.8599,139.3911,5.1293,39.2409,14.8421,14.1544,36.3771,35.5402,49.0452,49.1196,17.9531,19.0521,42.5542,2.3539,0.2619,16.9535,0.3185,2.2295,3.463,12.9777,25.1779,17.1504,14.8641,10.3918,437.4917,8.822,1.2045,91.3658,5.0878,32.6423,4.9533,13.3287,2.9013,17.019,11.4693,3.7347,15.8935,117.4038,1.7551,50.3171,8.9322,27.0319,92.5225,20.4637,12.7667,8.0987,7.9252,7.8462,3.0144,29.714,12.098,5.781,122.9709,33.2679,3.0389,128.7201,35.4133,315.9736,141.2732,262.7111,2039.0423,167.7386,379.2429,345.9017,2361.5472,988.8078,-5.8155,47.6447,-199.7496,206.3461,358.3825,90.2944,14.8315,3.5713,10.0568,523.1689,1.2283,2091.5272,2482.2447,167.0334,483.0048,1777.4792,2057.2183,1224.8898,1843.0826,307.3266,448.8971,497.0134,189.6218,98.3497,186.9277,335.478,606.4914,34.5624,185.4823,147.8506,15.13,20.968,32.0342,132.4047,37.7635,89.8718,13.4825,28131.3968,84267.6766,0,40470.7059,22.0836,248.8167,78.3298,-674.0094,124413.6032,152545
Other taxes less subsidies on production,635,56,197,16,64,15,69,432,214,444,431,172,279,122,-3,81,22,2,33,19,46,20,36,14,33,-15,-7,1,-15,-6,5,57,34,23,59,2,-26,45,4,130,18,105,9,51,30,129,36,-5,37,87,3,153,12,31,-40,19,25,14,83,39,9,92,19,-2,-802,4026,156,598,140,-574,176,503,-915,1740,2114,160,-914,1708,204,81,69,287,853,278,71,60,107,201,15,5318,1305,913,197,10199,7624,4592,1932,768,848,25,1186,0,723,667,-66,-237,1128,221,-97,-56,82,23,-15,-345,80,52051,0,0,0,0,0,0,0,0,52051
Complementary imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Competing imports,4838.2037,472.7931,2208.1921,464.9384,618.4301,331.6431,283.8469,5500.3424,2068.1832,4305.1515,6278.8134,622.8641,894.8531,377.0139,98.2462,979.5663,834.1299,332.6506,353.2251,1036.6262,933.0943,1469.6611,715.1228,174.6278,275.0667,19.5774,23.8017,494.1899,1.463,185.5997,72.8363,81.7538,739.3044,376.1811,1033.1574,713.8262,10041.1763,1771.1915,435.2003,3763.1421,672.0088,2849.6875,178.0697,539.9173,141.7486,634.1419,470.9888,203.5959,1240.619,7764.7115,123.8978,3594.7657,742.694,2289.7251,3138.7063,1141.9932,905.414,1076.2603,3053.4817,1237.3642,306.7017,3334.4469,994.6085,430.7481,1363.9137,1506.0603,122.4761,1887.6478,1264.6352,8763.2767,6172.5512,5240.5669,23814.7276,5079.3158,4090.5857,724.8958,2479.1315,7771.1461,846.1844,369.5365,3873.0125,2051.2422,1022.2452,1573.8205,996.8172,1514.1036,1625.9676,2873.6721,49.4252,1319.535,1288.9496,1890.7168,950.1035,462.5359,174.0722,1123.0317,6148.2361,3546.3495,2229.2977,781.7743,2684.971,3204.6268,1103.1155,3157.6116,3181.6111,396.8692,7866.7719,4515.0613,569.332,3421.0127,1077.6701,5523.2082,4425.6539,1111.3465,185.8962,242702.3013,120175.5456,8734.159,58344.8798,1908.3708,11242.5396,7005.2038,9756,217166.6987,459869
Australian Production,64913,10010,35329,3050,4169,2900,12533,119109,105646,135849,62497,11166,22026,38887,1493,15580,5745,2515,6655,9184,10748,14510,6345,4444,6962,413,728,3489,37,1174,408,5616,11301,2913,6966,5404,17691,9335,1028,21290,4708,14924,1051,4397,1674,10268,4088,2257,16580,54501,1114,22701,5383,10379,13279,7156,4468,5084,13038,5808,1606,17465,6095,3172,21171,56591,5541,27399,21769,109694,67379,84733,280083,159109,163571,16943,77902,72400,16948,10768,16575,21788,85206,23725,8666,10388,20454,58002,1965,139145,62208,70775,26843,182116,57623,101626,240146,73247,94548,26061,131565,45351,38021,81500,57511,11460,145227,111409,9093,21032,11857,23302,20520,15639,13057,4280906,1136042,513757,420448,25919,90742,12911,593271,2793090,7073996
Value Added,29638,5529,18616,1222,2305,1450,3666,87770,80831,111763,18644,6221,11617,6900,393,2988,1180,430,1162,2963,2904,4239,1464,1707,2035,180,270,1415,14,633,186,1684,4301,675,1842,2279,3254,3760,379,6354,2420,4913,457,1791,819,3053,1510,913,3726,4864,484,7905,2512,3407,4599,2909,1322,1946,7212,2240,704,6547,2457,1526,3865,18908,1739,14606,5742,22503,12366,32871,85966,84200,94378,7522,35934,32294,8533,4909,4463,7431,37642,10566,2583,4460,9114,22395,1507,106302,17126,37607,9702,152993,40342,54104,124135,41177,63763,11931,71338,23103,23896,60572,36927,7395,94360,82198,4358,7024,4593,9455,6585,6264,11830,2180676,,,,,,,,,
Employees,133925,30539,163817,6486,9633,8175,44604,33744,17754,38142,46071,11675,48095,66657,2378,20328,11781,2278,9161,53086,16710,27573,9169,6396,20799,1224,1096,10929,649,9233,1654,11384,38319,4041,14079,24747,2710,16497,1158,19124,9536,33870,2483,8128,2407,11794,8006,5803,22077,21113,1520,54938,15283,31643,33829,15698,7830,12841,30616,14965,3717,49624,22623,10902,9924,42889,2916,22121,39789,142733,83859,125772,787208,500022,1069668,94801,645884,264580,45635,19945,29463,84643,135019,22717,37632,23060,25741,51569,5261,215831,54396,171530,80372,0,0,178493,850016,248259,591878,188749,434026,72817,199910,552589,234836,91516,926595,564480,39925,99751,27186,151171,82509,105516,126628,,,,,,,,,,
