value,sheep_grains_beef_and_dairy_cattle,poultry_and_other_livestock,other_agriculture,aquaculture,forestry_and_logging,fishing_hunting_and_trapping,agriculture_forestry_and_fishing_support_services,coal_mining,oil_and_gas_extraction,iron_ore_mining,non-ferrous_metal_ore_mining,non-metallic_mineral_mining,exploration_and_mining_support_services,meat_and_meat_product_manufacturing,processed_seafood_manufacturing,dairy_product_manufacturing,fruit_and_vegetable_product_manufacturing,oils_and_fats_manufacturing,grain_mill_and_cereal_product_manufacturing,bakery_product_manufacturing,sugar_and_confectionery_manufacturing,other_food_product_manufacturing,soft_drinks_cordials_and_syrup_manufacturing,beer_manufacturing,wine_spirits_and_tobacco,textile_manufacturing,tanned_leather_dressed_fur_and_leather_product_manufacturing,textile_product_manufacturing,knitted_product_manufacturing,clothing_manufacturing,footwear_manufacturing,sawmill_product_manufacturing,other_wood_product_manufacturing,pulp_paper_and_paperboard_manufacturing,paper_stationery_and_other_converted_paper_product_manufacturing,printing_(including_the_reproduction_of_recorded_media),petroleum_and_coal_product_manufacturing,human_pharmaceutical_and_medicinal_product_manufacturing,veterinary_pharmaceutical_and_medicinal_product_manufacturing,basic_chemical_manufacturing,cleaning_compounds_and_toiletry_preparation_manufacturing,polymer_product_manufacturing,natural_rubber_product_manufacturing,glass_and_glass_product_manufacturing,ceramic_product_manufacturing,cement_lime_and_ready-mixed_concrete_manufacturing,plaster_and_concrete_product_manufacturing,other_non-metallic_mineral_product_manufacturing,iron_and_steel_manufacturing,basic_non-ferrous_metal_manufacturing,forged_iron_and_steel_product_manufacturing,structural_metal_product_manufacturing,metal_containers_and_other_sheet_metal_product_manufacturing,other_fabricated_metal_product_manufacturing,motor_vehicles_and_parts;_other_transport_equipment_manufacturing,ships_and_boat_manufacturing,railway_rolling_stock_manufacturing,aircraft_manufacturing,professional_scientific_computer_and_electronic_equipment_manufacturing,electrical_equipment_manufacturing,domestic_appliance_manufacturing,specialised_and_other_machinery_and_equipment_manufacturing,furniture_manufacturing,other_manufactured_products,electricity_generation,electricity_transmission_distribution_on_selling_and_electricity_market_operation,gas_supply,water_supply_sewerage_and_drainage_services,waste_collection_treatment_and_disposal_services,residential_building_construction,non_residential_building_construction,heavy_and_civil_engineering_construction,construction_services,wholesale_trade,retail_trade,accommodation,food_and_beverage_services,road_transport,rail_transport,water_pipeline_and_other_transport,air_and_space_transport,postal_and_courier_pick-up_and_delivery_service,transport_support_services_and_storage,publishing_(except_internet_and_music_publishing),motion_picture_and_sound_recording,broadcasting_(except_internet),internet_service_providers_internet_publishing_and_broadcasting_websearch_portals_and_data_processing,telecommunication_services,library_and_other_information_services,finance,insurance_and_superannuation_funds,auxiliary_finance_and_insurance_services,rental_and_hiring_services_(except_real_estate),imputed_rent_for_owner-occupiers,actual_rent_for_housing,non-residential_property_operators_and_real_estate_services,professional_scientific_and_technical_services,computer_systems_design_and_related_services,employment_travel_agency_and_other_administrative_services,building_cleaning_pest_control_and_other_support_services,public_administration_and_regulatory_services,defence,public_order_and_safety,primary_and_secondary_education_services_(including_pre-schools_and_special_schools),technical_vocational_and_tertiary_education_services_(including_undergraduate_and_postgraduate),arts_sports_adult_and_other_education_services_(including_community_education),health_care_services,residential_care_and_social_assistance_services,heritage_creative_and_performing_arts,sports_and_recreation,gambling,automotive_repair_and_maintenance,other_repair_and_maintenance,personal_services,other_services
Compensation of employees,4.938918,8.141858,8.573693,15.803279,19.477093,12.448276,13.971116,5.666238,4.107112,5.961766,11.643759,13.541107,31.476437,11.584848,8.238446,11.816431,16.13577,6.998012,13.042825,29.170296,15.323781,13.06685,13.364854,15.729073,18.385521,21.549637,9.752747,21.467469,75.675676,41.65247,29.411765,13.782051,20.36103,14.830072,18.719495,35.159141,2.673676,21.242635,14.396887,12.184124,17.098556,19.987939,23.882017,22.515351,19.474313,13.283989,19.055773,22.906513,15.301568,4.766885,16.876122,20.219374,26.026379,24.125638,22.441449,24.734489,19.561325,25.039339,26.02393,24.121901,25.031133,27.426281,23.199344,24.24338,7.826744,10.644802,5.937556,16.573598,16.7394,9.268511,11.007881,20.823056,17.988596,31.97305,36.79014,30.372425,35.00552,26.060773,36.222563,19.084324,23.861237,22.576648,13.913339,29.074816,27.625202,19.974971,18.275154,12.518534,28.346056,17.394085,12.889017,30.74532,21.741236,0,0,16.988763,38.731438,38.927192,59.814063,31.184529,45.552389,34.504201,52.82081,67.18773,56.980404,39.005236,51.639847,66.085325,21.621027,26.982693,19.364089,29.439533,22.865497,32.463713,77.368461
Household final consumption expenditure,0.029602,0.101964,0.992413,0.077994,0.007246,0.068433,0.000447,0.015387,0.507836,0.007207,0.021172,0.00478,0.014401,0.978502,0.180347,0.66818,0.437559,0.089134,0.308823,0.609503,0.362783,0.775771,0.512878,0.329665,0.56175,0.018008,0.083399,0.244078,0.130065,1.076014,0.175053,0.004638,0.035945,0.023274,0.242175,0.031612,1.296651,0.935842,0.022895,0.328952,0.513405,0.366698,0.005479,0.073169,0.04486,0.008165,0.004861,0.00128,0.025171,0.024731,0.004814,0.032654,0.022739,0.217258,2.309855,0.078479,0.002328,0.036022,1.481647,0.074141,0.491549,0.221176,0.413016,0.422433,0.596496,0.665601,0.092818,0.969859,0.047334,0.004498,0.005539,0.002204,0.168214,4.009973,10.324354,0.932113,5.358881,1.064639,0.403679,0.136562,0.993198,0.198361,0.325468,0.558108,0.160211,0.214884,0.276427,1.509699,0.044206,2.617664,4.584235,0.345389,0.106384,16.030745,4.708541,0.00181,0.647065,0.000464,0.265407,0.142669,0.085727,0,0.018164,1.182561,1.812893,0.707654,4.055701,2.043324,0.108524,0.860566,0.935872,0.988021,0.054966,1.002078,1.024288
