value,sheep_grains_beef_and_dairy_cattle,poultry_and_other_livestock,other_agriculture,aquaculture,forestry_and_logging,fishing_hunting_and_trapping,agriculture_forestry_and_fishing_support_services,coal_mining,oil_and_gas_extraction,iron_ore_mining,non-ferrous_metal_ore_mining,non-metallic_mineral_mining,exploration_and_mining_support_services,meat_and_meat_product_manufacturing,processed_seafood_manufacturing,dairy_product_manufacturing,fruit_and_vegetable_product_manufacturing,oils_and_fats_manufacturing,grain_mill_and_cereal_product_manufacturing,bakery_product_manufacturing,sugar_and_confectionery_manufacturing,other_food_product_manufacturing,soft_drinks_cordials_and_syrup_manufacturing,beer_manufacturing,wine_spirits_and_tobacco,textile_manufacturing,tanned_leather_dressed_fur_and_leather_product_manufacturing,textile_product_manufacturing,knitted_product_manufacturing,clothing_manufacturing,footwear_manufacturing,sawmill_product_manufacturing,other_wood_product_manufacturing,pulp_paper_and_paperboard_manufacturing,paper_stationery_and_other_converted_paper_product_manufacturing,printing_(including_the_reproduction_of_recorded_media),petroleum_and_coal_product_manufacturing,human_pharmaceutical_and_medicinal_product_manufacturing,veterinary_pharmaceutical_and_medicinal_product_manufacturing,basic_chemical_manufacturing,cleaning_compounds_and_toiletry_preparation_manufacturing,polymer_product_manufacturing,natural_rubber_product_manufacturing,glass_and_glass_product_manufacturing,ceramic_product_manufacturing,cement_lime_and_ready-mixed_concrete_manufacturing,plaster_and_concrete_product_manufacturing,other_non-metallic_mineral_product_manufacturing,iron_and_steel_manufacturing,basic_non-ferrous_metal_manufacturing,forged_iron_and_steel_product_manufacturing,structural_metal_product_manufacturing,metal_containers_and_other_sheet_metal_product_manufacturing,other_fabricated_metal_product_manufacturing,motor_vehicles_and_parts;_other_transport_equipment_manufacturing,ships_and_boat_manufacturing,railway_rolling_stock_manufacturing,aircraft_manufacturing,professional_scientific_computer_and_electronic_equipment_manufacturing,electrical_equipment_manufacturing,domestic_appliance_manufacturing,specialised_and_other_machinery_and_equipment_manufacturing,furniture_manufacturing,other_manufactured_products,electricity_generation,electricity_transmission_distribution_on_selling_and_electricity_market_operation,gas_supply,water_supply_sewerage_and_drainage_services,waste_collection_treatment_and_disposal_services,residential_building_construction,non_residential_building_construction,heavy_and_civil_engineering_construction,construction_services,wholesale_trade,retail_trade,accommodation,food_and_beverage_services,road_transport,rail_transport,water_pipeline_and_other_transport,air_and_space_transport,postal_and_courier_pick-up_and_delivery_service,transport_support_services_and_storage,publishing_(except_internet_and_music_publishing),motion_picture_and_sound_recording,broadcasting_(except_internet),internet_service_providers_internet_publishing_and_broadcasting_websearch_portals_and_data_processing,telecommunication_services,library_and_other_information_services,finance,insurance_and_superannuation_funds,auxiliary_finance_and_insurance_services,rental_and_hiring_services_(except_real_estate),ownership_of_dwellings,non-residential_property_operators_and_real_estate_services,professional_scientific_and_technical_services,computer_systems_design_and_related_services,employment_travel_agency_and_other_administrative_services,building_cleaning_pest_control_and_other_support_services,public_administration_and_regulatory_services,defence,public_order_and_safety,primary_and_secondary_education_services_(including_pre-schools_and_special_schools),technical_vocational_and_tertiary_education_services_(including_undergraduate_and_postgraduate),arts_sports_adult_and_other_education_services_(including_community_education),health_care_services,residential_care_and_social_assistance_services,heritage_creative_and_performing_arts,sports_and_recreation,gambling,automotive_repair_and_maintenance,other_repair_and_maintenance,personal_services,other_services
Compensation of employees,6.339772,8.249658,10.489224,16.547107,16.906914,10.14885,16.054991,8.616027,5.670511,6.36323,13.351841,19.966997,29.574128,13.023948,9.547325,12.709198,18.444351,9.001098,13.81897,31.198827,18.094019,14.572622,14.572957,14.790487,17.996578,16.8357,9.236453,23.125625,38.636364,45.187901,26.215645,15.452186,24.008307,15.0836,18.673364,33.343809,2.869654,15.823904,16.817594,16.224876,22.007099,20.511531,26.203807,25.930959,24.60443,14.02439,21.190745,25.99278,20.652588,5.257372,20,22.293279,28.488237,26.980353,23.375243,28.12664,16.765609,23.562387,25.707057,23.52,25.569044,29.018835,26.59396,26.780186,7.093516,9.951673,5.445007,15.763378,19.029559,8.69677,11.175764,21.412471,17.513624,32.119356,38.846689,26.955585,35.010082,26.559418,31.549475,16.056641,18.54239,25.084449,16.051411,33.290698,24.947467,19.996188,18.77878,14.115503,29.513185,15.740979,13.820765,30.178208,22.10632,0,16.105336,36.619718,37.78277,57.806681,30.874972,50.742666,38.984954,55.731088,67.12704,55.89723,31.583854,51.816934,70.555501,20.49722,25.09301,18.629838,27.177006,24.718382,29.476234,71.880413
Household final consumption expenditure,0.025796,0.085197,0.814136,0.064346,0.006919,0.062252,0.00065,0.004718,0.47334,0.007249,0.020338,0.006055,0.010619,0.965614,0.195166,0.691134,0.402781,0.084207,0.286125,0.588589,0.331056,0.69717,0.493609,0.30867,0.617841,0.014227,0.077961,0.231836,0.125084,1.096848,0.190457,0.004293,0.028843,0.030427,0.243899,0.022196,1.139981,0.774574,0.014533,0.197146,0.437866,0.377414,0.006041,0.059434,0.043369,0.005373,0.004563,0.001184,0.011064,0.016634,0.001867,0.019145,0.01841,0.161721,2.03571,0.073644,0.002681,0.030072,1.349816,0.060326,0.388959,0.178568,0.305838,0.391015,0.644365,0.748532,0.101638,0.982061,0.048274,0.005379,0.007054,0.003146,0.165108,3.680874,8.951313,1.263931,5.704692,1.260166,0.478554,0.341,2.172543,0.167802,0.321286,0.36749,0.184179,0.170956,0.226743,1.514373,0.049023,3.694266,4.454177,0.294094,0.138695,19.418658,0.000894,0.619582,0.00052,0.324174,0.135233,0.142992,0,0.021317,2.543832,1.705504,0.676427,3.887768,2.244601,0.141943,1.027848,1.029308,1.071796,0.054704,1.151601,1.112409
